ISO,Question,Answer,Citation,Pincite ,Comment,,
CRI,13(a) Can gaining unauthorized access to computer systems or data within a State’s sovereign control violate the rules of sovereignty?,Yes,"21. Breaches of sovereignty may also occur when a State engages in cyber operations that constitute a usurpation of inherently governmental functions, irrespective of any physical or non-physical effects on hardware or software located in the territory of the victim State.","Costa Rica’s Position on the Application of International Law in Cyberspace, pg. 6, ¶ 21 (2023).",,,
CRI,14. Are violations of sovereignty assessed on a case-by-case basis?,Silent,,,,,
CUB,1. Is sovereignty a foundational principle of the international legal order?,Silent,,,,,
CUB,2.  Does sovereignty confer on states authority over cyber infrastructure located in their respective territories and over the actions they take with respect to that infrastructure?,Silent,,,,,
CUB,"2(a) Does sovereignty encompass the right of a State to protect cyber infrastructure and safeguard cyber activity that is located in, or takes place on, its territory?",Silent,"In principle, the use, or the permissibility of a misuse of ICTs that manifests itself in the territory of another State may, depending on its nature, the extent of the intrusion and its consequences, constitute a violation of sovereignty.","Position Paper of the Republic of Cuba on the Application of International Law to Information and Communication Technologies in Cyberspace, pg.1, §2 (2024).",,,
CUB,2(b) Is the exercise of such sovereign authority subject to international human rights law and other fundamental freedoms?,Silent,¶,,,,
CUB,"3. Is sovereignty a stand-alone, primary rule of international law, the breach of which can incur international responsibility?",Ambiguous,"Ultimately, the violation of the obligation not to interfere in the internal affairs of other States is established irrespective of whether Information and Communication Technologies (ICTs) or otherwise were use.  In principle, the use, or the permissibility of a misuse of ICTs that manifests itself in the territory of another State may, depending on its nature, the extent of the intrusion and its consequences, constitute a violation of sovereignty.","Position Paper of the Republic of Cuba on the Application of International Law to Information and Communication Technologies in Cyberspace, pg.1, §2 (2024).",,,
CUB,3(a) Can violations of sovereignty not amounting to prohibited interventions constitute internationally wrongful acts?  ,Ambiguous,"¶2.  In principle, the use, or the permissibility of a misuse of ICTs that manifests itself in the territory of another State may, depending on its nature, the extent of the intrusion and its consequences, constitute a violation of sovereignty.¶¶15. Malicious use of ICT may constitute an internationally wrongful act, without this implying that it is equated to the use of force.   States should have clear primary international obligations on the matter that also have an impact on other subjects such as large technology companies and eventual independent actors, potential triggers of an international conflict through the malicious use of ICT.","Position Paper of the Republic of Cuba on the Application of International Law to Information and Communication Technologies in Cyberspace, pg.2, §§ 2,15 (2024).¶",,,
CUB,4. Does the State indicate how to identify a violation of any stand-alone sovereignty rule?,No,,,,,
CUB,4(a) Is there a de minimis threshold below which a violation of sovereignty would not occur? ,Silent,,,,,
CUB,"5. Is it a violation of territorial sovereignty for an organ of a State, or others whose conduct is attributable to the State, to conduct non-consensual cyber operations while physically present on another State’s territory against that State or entities or persons on its territory?",Ambiguous,"Ultimately, the violation of the obligation not to interfere in the internal affairs of other States is established irrespective of whether Information and Communication Technologies (ICTs) or otherwise were use.  In principle, the use, or the permissibility of a misuse of ICTs that manifests itself in the territory of another State may, depending on its nature, the extent of the intrusion and its consequences, constitute a violation of sovereignty.","Position Paper of the Republic of Cuba on the Application of International Law to Information and Communication Technologies in Cyberspace, pg.3, §2 (2024).¶",,,
CUB,6. Can state cyber operations that cause physical effects in another state’s territory constitute a violation of sovereignty as a rule?,Silent,,,,,
CUB,6(a) Do any physical effects constitute a violation?,Silent,,,,,
CUB,"6(b) Must the effects involve physical damage to computer infrastructure or other tangible things, or injury to persons, to constitute a violation of sovereignty as a rule?",Silent,,,,,
CUB,6(b)(i) Must the effect of a cyber operation to computer infrastructure require repair or replacement of physical components to qualify as damage?,Silent,,,,,
CUB,6(c) Do only cyber operations generating significant physical effects within another State’s territory constitute a violation?,Silent,,,,,
CUB,7 Can state cyber operations that cause a loss to computer functionality in another State’s territory constitute a violation of sovereignty as a rule?,Silent,,,,,
CUB,7(a) Is the rule violated by a cyber operation generating any functionality losses within another state’s territory?,Silent,,,,,
CUB,7(b) Is the rule violated by a cyber operation generating significant functionality losses within another state’s territory?,Silent,,,,,
CUB,7(c) Is the rule violated by a cyber operation generating systemic functionality losses within another state’s territory?,Silent,,,,,
CUB,8. Can state cyber operations that interfere with another state’s “inherent governmental functions” constitute a violation of sovereignty as a rule?,Silent,,,,,
CUB,9. Must there be proximate causation between the state cyber operation and the effects or interference prohibited by sovereignty as a rule?  ,Silent,,,,,
CUB,9(a) Must the state cyber operation generate prohibited effects directly?,Silent,,,,,
CUB,9(b) Do prohibited effects indirectly generated by a state cyber operation constitute a violation of sovereignty as a rule?,Silent,,,,,
CUB,10. Can state cyber operations that deny access to or degrade data in the control of another State constitute a violation of sovereignty as a rule?,Silent,,,,,
CUB,10(a) Do state sponsored ransomware operations violate the sovereignty of another State?,Silent,,,,,
CUB,10(b) Can state cyber operations against data residing in cloud servers outside of a State’s territorial jurisdiction constitute a violation of sovereignty as a rule?,Silent,,,,,
CUB,10(c) Does the exercise of one State’s law enforcement tools via cyber means in the networks or systems of another State’s territory violate the sovereignty of the latter State?,Silent,,,,,
CUB,11. Do State cyber operations that interfere at any level with critical infrastructure in another State constitute a violation of sovereignty as a rule?¶,Silent,,,,,
CUB,12. Can State cyber operations that cause significant national economic impacts for another State constitute a violation of sovereignty as a rule?,Silent,,,,,
CUB,13. Does cyber espionage by one State in or transiting networks or hardware resident in another State constitute a violation of sovereignty as a rule?,Silent,,,,,
CUB,13(a) Can gaining unauthorized access to computer systems or data within a State’s sovereign control violate the rules of sovereignty?,Silent,,,,,
CUB,14. Are violations of sovereignty assessed on a case-by-case basis?,Silent,,,,,
CZE,1. Is sovereignty a foundational principle of the international legal order?¶,Yes,"The principles of sovereignty and sovereign equality of States are fundamental concepts of¶international law, cornerstones of the UN Charter and apply in cyberspace, just as they do in other domains.¶¶First, the Czech Republic recalls that the principles of sovereignty and sovereign equality of States are cornerstones of the UN Charter","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.3, §1 (2024).¶¶¶¶Statement of the Special Envoy for Cyberspace and Director of Cybersecurity Department of the Czech Republic, pg.2 (2020)",,,
CZE,2.  Does sovereignty confer on states authority over cyber infrastructure located in their respective territories and over the actions they take with respect to that infrastructure?,Yes,"“The two facets of sovereignty are the internal facet, meaning that every State exercises its sovereignty over its territory, including the ICTs located therein, subject to its obligations under international law, including international human rights law, and the external facet, meaning that every State may freely and independently choose and develop its political, social, economic and cultural system and determine its foreign policy.¶The Czech Republic firmly believes that under this principle States may freely exercise without interference in any form by another State both aspects of sovereignty in cyberspace,¶be it an internal one, with the exclusive jurisdiction over the ICTs located on its territory, or the external one, including the determination of its foreign policy, subject only to obligations under international law.”¶¶ ","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.3, §2 (2024).¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶",,,
CZE,"2(a) Does sovereignty encompass the right of a State to protect cyber infrastructure and safeguard cyber activity that is located in, or takes place on, its territory?",Yes,"“The two facets of sovereignty are the internal facet, meaning that every State exercises its sovereignty over its territory, including the ICTs located therein”¶¶“The Czech Republic firmly believes that under this principle States may freely exercise without interference in any form by another State both aspects of sovereignty in cyberspace, be it an internal one, with the exclusive jurisdiction over the ICTs located on its territory.”","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.3, §2 (2024).¶¶¶Statement of the Special Envoy for Cyberspace and Director of Cybersecurity Department of the Czech Republic, pg.3 (2020)¶",The answer can be inferred from the statement.,,
CZE,2(b) Is the exercise of such sovereign authority subject to international human rights law and other fundamental freedoms?,Yes,"“The two facets of sovereignty are the internal facet, meaning that every State exercises its sovereignty over its territory, including the ICTs located therein, subject to its obligations under international law, including international human rights law, and the external facet, meaning that every State may freely and independently choose and develop its political, social, economic and cultural system and determine its foreign policy...”¶","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.3, §2 (2024).",,,
CZE,"3. Is sovereignty a stand-alone, primary rule of international law, the breach of which can incur international responsibility?",Yes,"“The sovereignty of every State must be respected. The principle of sovereignty forms a basis of various rules, such as the prohibition of intervention and the prohibition of the use of force. At the same time, sovereignty is a rule in its own right which is capable of being violated. Thus, cyber activities that do not amount to a prohibited intervention or a prohibited use of force may nevertheless amount to a violation of a State’s sovereignty under international law. In such case, violation of one State’s sovereignty by another State, including by a cyber means, would be considered an internationally wrongful act.”","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.3, §3 (2024).¶",,,
CZE,3(a) Can violations of sovereignty not amounting to prohibited interventions constitute internationally wrongful acts?  ,Yes,"“... sovereignty is a rule in its own right which is capable of being violated. Thus, cyber activities that do not amount to a prohibited intervention or a prohibited use of force may nevertheless amount to a violation of a State’s sovereignty under international law. In such case, violation of one State’s sovereignty by another State, including by a cyber means, would be considered an internationally wrongful act.”","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.3, §3 (2024).",,,
CZE,4. Does the State indicate how to identify a violation of any stand-alone sovereignty rule?,Yes,"“The Czech Republic is of the view that cyber activities that rise above the level of negligible or de minimis effects and cause significant harmful effects on the territory of another State without the consent of that State could amount to a violation of the rule of sovereignty in relation to the State concerned. While there is no universal consensus on the threshold, the Czech Republic is of the opinion that the analysis should take into account the degree of infringement upon the target State’s territorial integrity (i.e. the scope, scale, impact or severity of the effects of the operation and the causal link between the operation and its effects) or whether the operation interfered with or usurped inherently governmental functions. In general, the impact or severity of cyber effects will be evaluated in the same manner and according to the same criteria as for physical activities. “","Czech Republic Position Paper on the Application of International Law in Cyberspace, pgs.3-4, §5 (2024).¶¶",,,
CZE,4(a) Is there a de minimis threshold below which a violation of sovereignty would not occur? ,Yes,The Czech Republic is of the view that cyber activities that rise above the level of negligible or de minimis effects and cause significant harmful effects on the territory of another State without the consent of that State could amount to a violation of the rule of sovereignty in relation to the State concerned.,"Czech Republic Position Paper on the Application of International Law in Cyberspace, pgs.3-4, §5 (2024).¶",,,
CZE,"5. Is it a violation of territorial sovereignty for an organ of a State, or others whose conduct is attributable to the State, to conduct non-consensual cyber operations while physically present on another State’s territory against that State or entities or persons on its territory?",Ambiguous,"The Czech Republic considers the following cyber operations in a State’s territory as violation of its sovereignty, if attributable to another State: ¶¶D. cyber operation against a State or entities or persons located therein, including international organizations [sic], conducted by a physically present organ of another State. ","Statement of the Special Envoy for Cyberspace and Director of Cybersecurity Department of the Czech Republic , pg. 3, §9 (2020). ¶¶ ",,,
CZE,6. Can state cyber operations that cause physical effects in another state’s territory constitute a violation of sovereignty as a rule?,Yes,"In general, the impact or severity of cyber effects will be evaluated in the same manner and according to the same criteria as for physical activities...¶¶The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia: ¶¶a) a cyber operation causing death or injury to persons or significant physical damage;¶¶¶The Czech Republic considers the following cyber operations in a State’s territory as violation of its sovereignty, if attributable to another State:¶A. a cyber operation causing death or injury to persons or significant physical damage;","Czech Republic Position Paper on the Application of International Law in Cyberspace, pgs.3-4, §§5-6(a) (2024).¶¶¶¶¶¶¶¶¶¶¶¶¶Statement of the Special Envoy for Cyberspace and Director of Cybersecurity Department of the Czech Republic, pg.3 (2020)¶",Threshold analysis would apply,,
CZE,6(a) Do any physical effects constitute a violation?,No,The Czech Republic is of the view that cyber activities that rise above the level of negligible or de minimis effects and cause significant harmful effects on the territory of another State without the consent of that State could amount to a violation of the rule of sovereignty in relation to the State concerned.,"Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.3, §5 (2024).¶",,,
CZE,"6(b) Must the effects involve physical damage to computer infrastructure or other tangible things, or injury to persons, to constitute a violation of sovereignty as a rule?",No,"“The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:”¶...¶“c) a cyber operation interfering with any data or services which are essential for the exercise of inherently governmental functions, and thereby significantly disrupting the exercise of those functions; for example, distributing ransomware which encrypts the computers used by a government and thus disables the payment of retirement pensions or other social benefits. “","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §6(c) (2024).¶¶¶",,,
CZE,6(b)(i) Must the effect of a cyber operation to computer infrastructure require repair or replacement of physical components to qualify as damage?,Silent,,¶,¶,,
CZE,6(c) Do only cyber operations generating significant physical effects within another State’s territory constitute a violation?,No,"“The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:”¶...¶“ b) a cyber operation causing damage to or disruption of cyber or other infrastructure with a significant impact on national security, economy, public health, public safety or environment; for instance, if such an operation causes a severe power outage affecting thousands of households;¶c) a cyber operation interfering with any data or services which are essential for the exercise of inherently governmental functions, and thereby significantly disrupting the exercise of those functions; for example, distributing ransomware which encrypts the computers used by a government and thus disables the payment of retirement pensions or other social benefits.”","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §6(b)-(c) (2024).¶¶¶",,,
CZE,7 Can state cyber operations that cause a loss to computer functionality in another State’s territory constitute a violation of sovereignty as a rule?,Yes,"“The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:”¶...¶“ b) a cyber operation causing damage to or disruption of cyber or other infrastructure with a significant impact on national security, economy, public health, public safety or environment; for instance, if such an operation causes a severe power outage affecting thousands of households;¶c) a cyber operation interfering with any data or services which are essential for the exercise of inherently governmental functions, and thereby significantly disrupting the exercise of those functions; for example, distributing ransomware which encrypts the computers used by a government and thus disables the payment of retirement pensions or other social benefits.”","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §6(b)-(c) (2024).¶",,,
CZE,7(a) Is the rule violated by a cyber operation generating any functionality losses within another state’s territory?,No,"The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:¶...¶b) a cyber operation causing damage to or disruption of cyber or other infrastructure with a significant impact on national security, economy, public health, public safety or environment, for instance, if such an operation causes a severe power outage affecting thousands of households;¶c) a cyber operation interfering with any data or services which are essential for the exercise of inherently governmental functions, and thereby significantly disrupting the exercise of those functions, for example, distributing ransomware which encrypts the computers used by a government and thus disables the payment of retirement pensions or other social benefits.","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §6(b)-(c) (2024).¶",,,
CZE,7(b) Is the rule violated by a cyber operation generating significant functionality losses within another state’s territory?,Ambiguous,"The Czech Republic is of the view that cyber activities that rise above the level of negligible or de minimis effects and cause significant harmful effects on the territory of another State without the consent of that State could amount to a violation of the rule of sovereignty in relation to the State concerned.¶...¶The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:¶...¶b) a cyber operation causing damage to or disruption of cyber or other infrastructure with a significant impact on national security, economy, public health, public safety or environment, for instance, if such an operation causes a severe power outage affecting thousands of households;¶c) a cyber operation interfering with any data or services which are essential for the exercise of inherently governmental functions, and thereby significantly disrupting the exercise of those functions, for example, distributing ransomware which encrypts the computers used by a government and thus disables the payment of retirement pensions or other social benefits.","Czech Republic Position Paper on the Application of International Law in Cyberspace, pgs.3-4, §§5, 6(b)-(c) (2024).¶","The functionality loss appears to have to be connected to other significant impacts.  A significant disruption of the exercise of inherently governmental functions through cyber interference with data or services, as well as the disruption of cyber infrastructure, are both presented as examples of sovereignty violations. The position paper, therefore, suggests that a cyber operation generating significant functionality losses within a state’s territory may violate the rule if inherently governmental functions are disrupted or a significant impact on a consideration of sovereignty results.",,
CZE,7(c) Is the rule violated by a cyber operation generating systemic functionality losses within another state’s territory?,Silent,,,,,
CZE,8. Can state cyber operations that interfere with another state’s “inherent governmental functions” constitute a violation of sovereignty as a rule?,Yes,"The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:¶...¶c) a cyber operation interfering with any data or services which are essential for the exercise of inherently governmental functions, and thereby significantly disrupting the exercise of those functions, for example, distributing ransomware which encrypts the computers used by a government and thus disables the payment of retirement pensions or other social benefits.","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §6(c) (2024).¶¶¶",,,
CZE,9. Must there be proximate causation between the state cyber operation and the effects or interference prohibited by sovereignty as a rule?  ,Ambiguous,"The Czech Republic is of the view that cyber activities that rise above the level of negligible or de minimis effects and cause significant harmful effects on the territory of another State without the consent of that State could amount to a violation of the rule of sovereignty in relation to the State concerned. While there is no universal consensus on the threshold, the Czech Republic is of the opinion that the analysis should take into account the degree of infringement upon the target State’s territorial integrity (i.e. the scope, scale, impact or severity of the effects of the operation and the causal link between the operation and its effects) or whether the operation interfered with or usurped inherently governmental functions.","Czech Republic Position Paper on the Application of International Law in Cyberspace, pgs.3-4, §5 (2024).¶","Although the position paper vaguely recommends that the violation analysis should consider the causal link, the legal language of proximate causation is not specifically discussed. The paper outlines specific criteria for determining whether a cyber operation violates sovereignty, including the scale and severity of the impact and the context in which it occurs.",,
CZE,9(a) Must the state cyber operation generate prohibited effects directly?,Silent,,,,,
CZE,9(b) Do prohibited effects indirectly generated by a state cyber operation constitute a violation of sovereignty as a rule?,Silent,,,,,
CZE,10. Can state cyber operations that deny access to or degrade data in the control of another State constitute a violation of sovereignty as a rule?,Yes,"The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:¶...¶c) a cyber operation interfering with any data or services which are essential for the exercise of inherently governmental functions, and thereby significantly disrupting the exercise of those functions, for example, distributing ransomware which encrypts the computers used by a government and thus disables the payment of retirement pensions or other social benefits.","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §6(c) (2024).¶¶¶¶",,,
CZE,10(a) Can state sponsored ransomware operations violate the sovereignty of another State?,Yes,"The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:¶...¶c) a cyber operation interfering with any data or services which are essential for the exercise of inherently governmental functions, and thereby significantly disrupting the exercise of those functions, for example, distributing ransomware which encrypts the computers used by a government and thus disables the payment of retirement pensions or other social benefits.","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §6(c) (2024).",,,
CZE,10(b) Can state cyber operations against data residing in cloud servers outside of a State’s territorial jurisdiction constitute a violation of sovereignty as a rule?,Silent,,,,,
CZE,10(c) Does the exercise of one State’s law enforcement tools via cyber means in the networks or systems of another State’s territory violate the sovereignty of the latter State?,Ambiguous,"... the Czech Republic does not consider every cyber operation attributable to a State and having an effect in the territory or infrastructure of another State to be a violation of the latter’s sovereignty. Cyberspace is a global and open domain and States often exercise their jurisdiction in another State’s territory without legal repercussions. For instance, an organ of a State viewing a publicly available website hosted in another State for the purposes of obtaining information during a criminal investigation does not violate that State’s sovereignty, despite exercising jurisdiction in its territory without its consent.","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.3, §4 (2024).¶","The position paper leaves room to interpret that certain law enforcement tools, including online criminal investigations, may not violate sovereignty, but it would depend on the degree of infringement by the cyber means.",,
CZE,11. Do State cyber operations that interfere at any level with critical infrastructure in another State constitute a violation of sovereignty as a rule?¶,No,"The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:¶...¶b) a cyber operation causing damage to or disruption of cyber or other infrastructure with a significant impact on national security, economy, public health, public safety or environment; for instance, if such an operation causes a severe power outage affecting thousands of households;","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §6(b) (2024).¶","Interference with critical infrastructure may constitute a violation, subject to the threshold requirement.",,
CZE,12. Can State cyber operations that cause significant national economic impacts for another State constitute a violation of sovereignty as a rule?,Yes,"The Czech Republic is of the opinion that the following cyber operations in one State’s territory constitute violations of sovereignty, if attributed to another State, inter alia:¶...¶b) a cyber operation causing damage to or disruption of cyber or other infrastructure with a significant impact on national security, economy, public health, public safety or environment; for instance, if such an operation causes a severe power outage affecting thousands of households;","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §6(b) (2024).",,,
CZE,13. Does cyber espionage by one State in or transiting networks or hardware resident in another State constitute a violation of sovereignty as a rule?,Silent,,,,,
CZE,13(a) Can gaining unauthorized access to computer systems or data within a State’s sovereign control violate the rules of sovereignty?¶,Silent,,,,,
CZE,14. Are violations of sovereignty assessed on a case-by-case basis?,Yes,"The Czech Republic will assess whether a violation of sovereignty has occurred on a case-by-case basis, since further State practice and opinio juris is needed to clarify the scope of customary law in this area over time.","Czech Republic Position Paper on the Application of International Law in Cyberspace, pg.4, §5 (2024).¶",,,
DEN,1. Is sovereignty a foundational principle of the international legal order?,Yes,Denmark is of the view that sovereignty is not only a principle but a primary rule of international law a breach of which amounts to an internationally wrongful act and if attributable to a State it may give rise to State responsibility.,"Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.448, §5 (2023).",,,
DEN,2. Does sovereignty confer on states authority over cyber infrastructure located in their respective territories and over the actions they take with respect to that infrastructure?¶,Yes,"“It follows that all States may exercise sovereignty over any cyber infrastructure located on their territory and all activities associated with that infrastructure – irrespective of whether such infrastructure or activity is of a public or private character. In the exercise of governmental authority, the State may promulgate and enforce domestic laws or protect cyber infrastructure and cyber activity located or taking place in its territory unless prohibited from doing so by its international legal obligations such as the limitations set out in international human rights conventions and international law on State and diplomatic immunity”","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.448, §5 (2023).",,,
DEN,"2(a) Does sovereignty encompass the right of a State to protect cyber infrastructure and safeguard cyber activity that is located in, or takes place on, its territory?",Yes,"“It follows that all States may exercise sovereignty over any cyber infrastructure located on their territory and all activities associated with that infrastructure – irrespective of whether such infrastructure or activity is of a public or private character. In the exercise of governmental authority, the State may promulgate and enforce domestic laws or protect cyber infrastructure and cyber activity located or taking place in its territory unless prohibited from doing so by its international legal obligations such as the limitations set out in international human rights conventions and international law on State and diplomatic immunity”","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.448, §5 (2023).",,,
DEN,2(b) Is the exercise of such sovereign authority subject to international human rights law and other fundamental freedoms?,Yes,"In the exercise of governmental authority, the State may promulgate and enforce domestic laws or protect cyber infrastructure and cyber activity located or taking place in its territory unless prohibited from doing so by its international legal obligations such as the limitations set out in international human rights conventions and international law on State and diplomatic immunity”¶","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,"3. Is sovereignty a stand-alone, primary rule of international law, the breach of which can incur international responsibility?",Yes,“Denmark is of the view that sovereignty is not only a principle but a primary rule of international law a breach of which amounts to an internationally wrongful act and if attributable to a State it may give rise to State responsibility”,"Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.448 (2023).",,,
DEN,3(a) Can violations of sovereignty not amounting to prohibited interventions constitute internationally wrongful acts?  ,Silent ,,,,,
DEN,4. Does the State indicate how to identify a violation of any stand-alone sovereignty rule?,Yes," Whether or not a given act in cyberspace is done in violation of another State’s sovereignty requires a case-by-case assessment of all relevant factors, in particular the nature of and the effects caused by the cyber operation”","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.448-49 (2023).¶",,,
DEN,4(a) Is there a de minimis threshold below which a violation of sovereignty would not occur¶,Yes,Cyber activities causing negligible physical effects or loss of functionality ¶would generally not be considered a violation of sovereignty.,"Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,"5. Is it a violation of territorial sovereignty for an organ of a State, or others whose conduct is attributable to the State, to conduct non-consensual cyber operations while physically present on another State’s territory against that State or entities or persons on its territory?",Silent,,,,,
DEN,6. Can state cyber operations that cause physical effects in another state’s territory constitute a violation of sovereignty as a rule?,Yes,"“With respect to infringements on a State’s territory Denmark generally shares the view that cyber operations which result in physical damage or injury constitute a violation of a State’s sovereignty and may also violate the principle of non-intervention, or the prohibition of the use of force”","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,6(a) Do any physical effects constitute a violation?,No,Cyber activities causing negligible physical effects or loss of functionality would generally not be considered a violation of sovereignty.”,"Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,"6(b) Must the effects involve physical damage to computer infrastructure or other tangible things, or injury to persons, to constitute a violation of sovereignty as a rule?",No,"Furthermore, interference with or usurpation of a State’s inherently governmental functions may constitute a violation of a State’s sovereignty or prohibited intervention.”","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,6(b)(i) Must the effect of a cyber operation to computer infrastructure require repair or replacement of physical components to qualify as damage?,Silent,,,,,
DEN,6(c) Do only cyber operations generating significant physical effects within another State’s territory constitute a violation?,No,"Furthermore, interference with or usurpation of a State’s inherently governmental functions may constitute a violation of a State’s sovereignty or prohibited intervention.”","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,7 Can state cyber operations that cause a loss to computer functionality in another State’s territory constitute a violation of sovereignty as a rule?,Yes,"“Denmark generally shares the view that cyber operations which result in physical damage or injury constitute a violation of a State’s sovereignty and may also violate the principle of non-intervention, or the prohibition of the use of force, cf. section 3 and 4. In addition to physical damage or injury loss of functionality may also, depending on its nature, scale, and effects, constitute such a violation.”","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,7(a) Is the rule violated by a cyber operation generating any functionality losses within another state’s territory?,No,“Cyber activities causing negligible physical effects or loss of functionality¶would generally not be considered a violation of sovereignty.”,"Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,7(b) Is the rule violated by a cyber operation generating significant functionality losses within another state’s territory?,Ambiguous,"“In addition to physical damage or injury loss of functionality may also,¶depending on its nature, scale, and effects, constitute such a violation.”","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,7(c) Is the rule violated by a cyber operation generating systemic functionality losses within another state’s territory?,Silent,,,,,
DEN,8. Can state cyber operations that interfere with another state’s “inherent governmental functions” constitute a violation of sovereignty as a rule?,Yes,"“Furthermore, interference with or usurpation of a State’s inherently governmental functions may constitute a violation of a State’s sovereignty or prohibited intervention. This assessment is not contingent on whether physical damage, injury, or loss of functionality have occurred, but rather if a cyber operation has interfered with data or services necessary for the exercise of inherently governmental functions. This applies irrespective of whether such inherently governmental functions are performed by the State itself (either by central, regional or local government) or have been delegated to non-governmental entities”","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,9. Must there be proximate causation between the state cyber operation and the effects or interference prohibited by sovereignty as a rule?  ,Silent,,,,,
DEN,9(a) Must the state cyber operation generate prohibited effects directly?,Silent,,,,,
DEN,9(b) Do prohibited effects indirectly generated by a state cyber operation constitute a violation of sovereignty as a rule?,Silent,,,,,
DEN,10. Can state cyber operations that deny access to or degrade data in the control of another State constitute a violation of sovereignty as a rule?,Yes,"In addition to physical damage or injury loss of functionality may also, ¶depending on its nature, scale, and effects, constitute such a violation. Cyber operations that alter or delete data without necessarily resulting in physical damage or loss of functionality may also, based on a case-by-case assessment of the nature, scale, and effects of the operation in question, constitute a violation.","Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶",,,
DEN,10(a) Do state sponsored ransomware operations violate the sovereignty of another State?,Silent,,,,,
DEN,10(b) Can state cyber operations against data residing in cloud servers outside of a State’s territorial jurisdiction constitute a violation of sovereignty as a rule?,Silent,,,,,
DEN,10(c) Does the exercise of one State’s law enforcement tools via cyber means in the networks or systems of another State’s territory violate the sovereignty of the latter State?,Silent,,,,,
DEN,11. Do State cyber operations that interfere at any level with critical infrastructure in another State constitute a violation of sovereignty as a rule?¶,No,“Cyber activities causing negligible physical effects or loss of functionality¶would generally not be considered a violation of sovereignty.”,"Denmark’s Position Paper on the Application of International Law in Cyberspace, pg.449 (2023).¶¶",,,
DEN,12. Can State cyber operations that cause significant national economic impacts for another State constitute a violation of sovereignty as a rule?,Silent,,,,,
DEN,13. Does cyber espionage by one State in or transiting networks or hardware resident in another State constitute a violation of sovereignty as a rule?,Silent,,,,,
DEN,13(a) Can gaining unauthorized access to computer systems or data within a State’s sovereign control violate the rules of sovereignty?¶,Silent,,, ,,
